Id,Overall Qual,Year Built,Year Remod/Add,Total Bsmt SF,1st Flr SF,Gr Liv Area,Garage Cars,Garage Area,totalsqft
2658,6,1910,1950,1020.0,908,1928,1.0,440.0,1928.0
2718,5,1977,1977,1967.0,1967,1967,2.0,580.0,3934.0
2414,7,2006,2006,654.0,664,1496,2.0,426.0,1318.0
1989,5,1923,2006,968.0,968,968,2.0,480.0,1936.0
625,6,1963,1963,1394.0,1394,1394,2.0,514.0,2788.0
333,4,1972,1972,546.0,546,1092,1.0,286.0,1092.0
1327,4,1958,2006,869.0,1093,1093,1.0,308.0,1962.0
858,5,1977,1989,1268.0,1268,1268,1.0,252.0,2536.0
95,7,2004,2004,840.0,840,1680,2.0,588.0,1680.0
1568,6,1977,1977,1196.0,1279,1279,2.0,473.0,2475.0
2482,6,1991,1991,1217.0,1217,1217,2.0,484.0,2434.0
1364,6,1925,1992,1040.0,1040,1040,2.0,320.0,2080.0
2584,6,1954,1954,1367.0,1375,1375,2.0,451.0,2742.0
818,7,2000,2000,1168.0,1168,2787,4.0,820.0,2336.0
2673,6,1924,1996,848.0,1017,1827,1.0,240.0,1865.0
2089,5,1957,2006,0.0,1340,1340,1.0,252.0,1340.0
1297,6,1940,1950,884.0,884,1436,2.0,828.0,1768.0
790,5,1956,1956,1073.0,1073,1073,1.0,340.0,2146.0
2616,6,1961,1992,1313.0,1773,1773,2.0,418.0,3086.0
720,8,1882,1986,916.0,916,1742,2.0,424.0,1832.0
222,5,1968,2001,1060.0,1060,1060,1.0,270.0,2120.0
557,5,1961,1961,864.0,864,864,2.0,732.0,1728.0
1148,6,1993,1994,1604.0,1617,1617,2.0,533.0,3221.0
2766,6,1969,1969,938.0,988,988,2.0,540.0,1926.0
534,7,2007,2007,1218.0,1218,1218,2.0,576.0,2436.0
1452,5,1972,1972,864.0,864,864,1.0,352.0,1728.0
630,4,1920,2007,715.0,1281,1738,1.0,368.0,1996.0
2648,5,1880,1991,636.0,1089,1750,1.0,240.0,1725.0
125,6,1963,1963,936.0,1054,1054,2.0,480.0,1990.0
1904,3,1945,1950,370.0,442,670,0.0,0.0,812.0
1670,4,1971,1971,858.0,858,858,1.0,684.0,1716.0
756,4,1925,1950,780.0,848,1208,2.0,539.0,1628.0
717,7,1880,2003,1240.0,1320,2640,4.0,864.0,2560.0
1032,5,1973,2000,1176.0,1178,1178,2.0,439.0,2354.0
852,7,2001,2001,1492.0,1492,1492,2.0,608.0,2984.0
1731,7,2006,2007,608.0,608,1458,2.0,454.0,1216.0
2639,4,1920,1980,1147.0,1147,1657,1.0,162.0,2294.0
2071,4,1945,1950,0.0,998,998,2.0,460.0,998.0
1267,5,1953,1996,105.0,910,910,2.0,414.0,1015.0
1851,7,1999,2000,1339.0,1358,1358,2.0,625.0,2697.0
567,6,2009,2009,612.0,612,1224,2.0,528.0,1224.0
2439,7,1998,1999,930.0,956,1886,2.0,431.0,1886.0
1898,5,1959,2002,1063.0,1327,1327,2.0,624.0,2390.0
647,5,1951,2000,1008.0,1363,1363,1.0,288.0,2371.0
2256,7,1987,1987,1501.0,1501,1501,2.0,512.0,3002.0
979,4,1970,2008,546.0,798,1344,0.0,0.0,1344.0
1444,7,2001,2002,920.0,920,1786,2.0,608.0,1840.0
2485,5,1965,1965,828.0,965,965,1.0,300.0,1793.0
157,5,1956,2000,936.0,936,936,1.0,308.0,1872.0
88,5,1963,1963,1040.0,1040,1040,1.0,308.0,2080.0
2003,5,1930,1950,912.0,912,1248,1.0,160.0,1824.0
186,8,1890,2002,346.0,1157,2268,2.0,624.0,1503.0
